No.,Quantity,Comment,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Price,Ordered,Why more/less,Link
1,1,2.2uH,2.2uH,APH0530T2R2M,APV,C5349681,LCSC,$0.41,5,Minimal order is 5,https://www.lcsc.com/product-detail/C5349681.html
2,1,3.3uH,3.3uH,FEXL0530A-3R3M,cjiang,C5378512,LCSC,$1.12,1,N/A,https://www.lcsc.com/product-detail/C5378512.html
3,1,4.7kΩ,4.7kΩ,RC0603FR-074K7L,YAGEO,C99782,LCSC,$0.13,100,Minimal order is 100,https://www.lcsc.com/product-detail/C99782.html
4,1,4.7uF,4.7uF,CL10A475KA8NQNC,SAMSUNG,C69335,LCSC,$0.16,10,Minimal order is 10,https://www.lcsc.com/product-detail/C69335.html
5,1,6.04kΩ,6.04kΩ,0603WAF6041T5E,UNI-ROYAL,C25977,LCSC,$0.13,100,Minimal order is 100,https://www.lcsc.com/product-detail/C25977.html
6,1,8.2kΩ,8.2kΩ,RC0603FR-078K2L,YAGEO,C114637,LCSC,$0.15,100,Minimal order is 100,https://www.lcsc.com/product-detail/C114637.html
7,1,10uF,10uF,CL10A106MA8NRNC,SAMSUNG,C96446,LCSC,$0.34,20,Minimal order is 20,https://www.lcsc.com/product-detail/C96446.html
8,1,10Ω,10Ω,FRC0603J100 TS,FOJAN,C2907091,LCSC,$0.10,100,Minimal order is 100,https://www.lcsc.com/product-detail/C2907091.html
9,1,22uF,22uF,CL32B226KAJNNNE,SAMSUNG,C309062,LCSC,$0.13,1,N/A,https://www.lcsc.com/product-detail/C309062.html
10,1,27kΩ,27kΩ,RC0603FR-0727KL,YAGEO,C114614,LCSC,$0.15,100,Minimal order is 100,https://www.lcsc.com/product-detail/C114614.html
11,1,100nF,100nF,C3225C0G1H104JT000N,TDK,C338021,LCSC,$0.56,1,N/A,https://www.lcsc.com/product-detail/C338021.html
12,1,191Ω,191Ω,RMC06031911%N,Tyohm,C269413,LCSC,$0.31,100,Minimal order is 100,https://www.lcsc.com/product-detail/C269413.html
13,1,ADP2116ACPZ-R7,,ADP2116ACPZ-R7,ADI,C659049,LCSC,$3.36,1,N/A,https://www.lcsc.com/product-detail/C659049.html
14,1,KSZ9477STXI-TR,,KSZ9477STXI-TR,MICROCHIP,C631685,LCSC,$20.08,1,N/A,https://www.lcsc.com/product-detail/C631685.html
15,1,RCLAMP0502BATCT,,RCLAMP0502BATCT,SEMTECH,C117553,LCSC,$1.13,5,Minimal order is 5,https://www.lcsc.com/product-detail/C117553.html
16,1,SMA6L5.0A,,SMA6L5.0A,Littelfuse,C1974860,LCSC,$0.79,1,N/A,https://www.lcsc.com/product-detail/C1974860.html
17,1,STM32F469BET6,,STM32F469BET6,ST,C1342980,LCSC,$18.73,1,N/A,https://www.lcsc.com/product-detail/C1342980.html
18,1,TLV76733DRVR,,TLV76733DRVR,TI,C2848334,LCSC,$0.98,5,Minimal order is 5,https://www.lcsc.com/product-detail/C2848334.html
19,1,TS6643TP 250gf 009,,TS6643TP 250gf 009,SHOU HAN,C5342967,LCSC,N/A,0,I already have them,https://www.lcsc.com/product-detail/C5342967.html
20,1,TYPE-C 16PIN 2MD(073),,TYPE-C 16PIN 2MD(073),SHOU HAN,C2765186,LCSC,N/A,0,I already have them,https://www.lcsc.com/product-detail/C2765186.html
21,2,1kΩ,1kΩ,FRC0603F1001TS,FOJAN,C2907002,LCSC,$0.12,100,Minimal order is 100,https://www.lcsc.com/product-detail/C2907002.html
22,2,1nF,1nF,1808B102K302NT,FH,C967608,LCSC,$0.70,10,Minimal order is 10,https://www.lcsc.com/product-detail/C967608.html
23,2,2.2uF,2.2uF,CGA0603X5R225K250JT,HRE,C6119859,LCSC,$0.80,100,Minimal order is 100,https://www.lcsc.com/product-detail/C6119859.html
24,2,5.1kΩ,5.1kΩ,FRC0603F5101TS,FOJAN,C2907044,LCSC,$0.12,100,Minimal order is 100,https://www.lcsc.com/product-detail/C2907044.html
25,2,25MHz,25MHz,SX1M25.000M10F30TNN,SCTF,C2901612,LCSC,$0.57,1,N/A,https://www.lcsc.com/product-detail/C2901612.html
26,2,30kΩ,30kΩ,FRC0603F3002TS,FOJAN,C2907025,LCSC,$0.12,100,Minimal order is 100,https://www.lcsc.com/product-detail/C2907025.html
27,2,47uF,47uF,CS3225X7R476K100NRL,SAMWHA,C5189825,LCSC,$0.45,5,Minimal order is 5,https://www.lcsc.com/product-detail/C5189825.html
28,2,820pF,820pF,CC0603JRNPO8BN821,YAGEO,C519398,LCSC,$0.42,100,Minimal order is 100,https://www.lcsc.com/product-detail/C519398.html
29,3,22uF,22uF,GRM188C61E226ME01D,muRata,C29519229,LCSC,$0.92,5,Minimal order is 5,https://www.lcsc.com/product-detail/C29519229.html
30,4,10nF,10nF,CC0603JRNPO8BN103,YAGEO,C723749,LCSC,$0.81,50,Minimal order is 50,https://www.lcsc.com/product-detail/C723749.html
31,5,0826-1G1T-23-F,,0826-1G1T-23-F,Bel Magnetic Solutions,530-0826-1G1T-23-F,Mouser,$36.75,5,N/A,https://www.mouser.pl/ProductDetail/Bel-Magnetic-Solutions/0826-1G1T-23-F?qs=SRYZG9HaIQ0yqJ%252BCqOsSRg%3D%3D
32,6,1uF,1uF,CL10B105KB8NQNC,SAMSUNG,C5199872,LCSC,$0.42,50,Minimal order is 50,https://www.lcsc.com/product-detail/C5199872.html
33,10,33Ω,33Ω,FRC0603F33R0TS,FOJAN,C2909394,LCSC,$0.12,100,Minimal order is 100,https://www.lcsc.com/product-detail/C2909394.html
34,16,10kΩ,10kΩ,RC0603FR-0710KL,YAGEO,C98220,LCSC,$0.13,100,Minimal order is 100,https://www.lcsc.com/product-detail/C98220.html
35,73,100nF,100nF,CL10B104KA8NNNC,SAMSUNG,C1590,LCSC,$0.36,100,Minimal order is 100,https://www.lcsc.com/product-detail/C1590.html
36,,PCB,,,,,JLCPCB,$45.90 + $7.90 shipping,5,Minimal order is 5,https://www.jlcpcb.com
,,,,,,,Total,$145.37,,,
